Code_departement,annee,Drugs,Financial,Property,Violent,risk_score_raw,risk_score_norm,risk_level
26,2022,6.530094048696666,5.224075238957333,26.64585219165682,8.34432869482502,13.15991346906212,19.7,Low
27,2022,8.641205378302192,4.83282194560165,18.177131405858923,7.788060967395914,10.779887078936646,11.7,Low
28,2022,5.328559879893752,4.570966624321516,17.560919274743043,7.917773414943989,9.95819378681141,9.0,Low
29,2022,5.447714869513488,4.8398986110751885,19.287389321401168,5.968238367431395,9.747044978403125,8.2,Low
2A,2022,6.167002920894938,4.4265108856033,20.060826884278356,6.233250022584239,10.18759974705652,9.7,Low
2B,2022,4.027403620344327,4.642851358573889,17.626639169469474,6.316437313408663,9.084332536130562,6.0,Low
30,2022,6.230284943914347,5.3520241881650765,26.09520817790343,8.116385911179172,12.856376225442077,18.7,Low
31,2022,7.805606275248736,7.112049282374519,34.279569390377134,8.370065530835475,15.904223212734529,29.0,Medium
32,2022,4.505603454988087,5.377655736598684,13.947645718379022,5.782537153060748,7.936194841395491,2.2,Low
33,2022,4.963641356911724,6.286045206509929,32.94606502764212,8.717119010376242,14.991999904476472,25.9,Medium
34,2022,10.386657367634603,6.133089521255927,33.925037643829,8.999195781591038,16.46783003143763,30.9,Medium
35,2022,6.937232247176425,5.3108817632379886,23.06550838778542,7.191462200874119,11.714772022444357,14.9,Low
36,2022,5.4656402640111805,4.815298257913648,18.98445175246415,7.582711049818043,10.303077824260063,10.1,Low
37,2022,4.21205660640635,6.280766996686818,25.356710572002477,8.010371134756607,12.281649646453339,16.8,Low
38,2022,7.746751537115333,5.806191825798758,30.50999705741145,7.841998482243802,14.419768000123897,24.0,Low
39,2022,4.899286004527776,4.876066639577408,17.430003289410035,7.329579535999691,9.628296666086182,7.8,Low
40,2022,4.460503189574887,5.597219596337299,21.200811340088276,7.268449467470538,10.719445786563407,11.5,Low
41,2022,4.073530261161929,4.56600183004867,20.270372971214734,7.274595458925743,10.262256310171969,10.0,Low
42,2022,7.6485575247946676,5.520432205025381,26.559470287199773,7.702958780686518,13.13077932389601,19.6,Low
43,2022,9.028712181310565,5.548713408514163,15.107752858726952,5.575010628459728,9.122943886115506,6.1,Low
44,2022,5.137269915745515,5.496362910648974,35.318051856015245,7.75545834928548,15.274689170732767,26.8,Medium
45,2022,5.348854471860659,6.185750069498721,18.76538250495224,8.54652339014035,10.736570008863815,11.6,Low
46,2022,4.583760391754925,5.864935656531147,14.9299624188589,6.17241772007744,8.451201457692745,3.9,Low
47,2022,3.7655090209676545,5.255458633580755,21.271664469367238,7.925327939414736,10.830278184127671,11.9,Low
48,2022,4.287413565481092,3.790701018260722,12.966811759015986,5.751408441499026,7.427159719226697,0.4,Low
49,2022,3.1129588686121252,4.874714876876318,19.597875266708606,6.653376014760593,9.650776247326876,7.9,Low
50,2022,3.6190533699666876,4.267181949015227,14.375572396163562,6.233708724575546,7.956684077574147,2.2,Low
51,2022,6.243496357960458,5.429820938226258,25.778797284912258,9.343971976947635,13.262909341667449,20.1,Low
52,2022,6.204927442380714,4.403496894592765,21.623053601389337,8.665705118770788,11.634533305860536,14.6,Low
53,2022,7.746278283246626,4.619610590727384,16.29141197693796,6.986710843807398,9.693324646326412,8.1,Low
54,2022,6.258715401051715,5.468700965209347,21.035669356445233,8.912563549088686,11.674339403300323,14.7,Low
55,2022,8.531356330742206,4.586572242662315,19.142991507372265,8.24365819248112,11.2052892196188,13.2,Low
56,2022,4.197896413233811,5.004490383364064,18.76555044884506,7.001647977137055,9.770352646491508,8.3,Low
57,2022,4.368428916905629,4.182842067494606,17.916268923910344,7.148424748339473,9.526220566639479,7.5,Low
58,2022,4.943178166970672,5.215052966154059,19.525553759534155,6.198745421381222,9.847305226422273,8.6,Low
59,2022,9.268568375896907,5.026922984329986,31.341938141524984,10.83988782185395,16.094942544811452,29.6,Medium
60,2022,10.39212735863252,4.906557525053417,21.080381594390442,8.405910499864575,12.255559902494808,16.7,Low
61,2022,6.485746567008517,4.935830581146068,17.3532649632076,7.803899414798076,10.118271626397823,9.5,Low
62,2022,7.186765503525583,4.246725070265117,20.516592429447247,10.90273554565726,12.378097554828708,17.1,Low
63,2022,4.593722013591517,5.129555905085153,23.207929137473002,6.294543073669634,10.911895963936573,12.2,Low
64,2022,3.994435810960537,5.158169078720694,20.556904984180946,6.143196377844463,9.939054116456246,8.9,Low
65,2022,5.780871278402095,5.361779713375934,19.41214847074784,6.63201600324904,10.168803169541981,9.7,Low
66,2022,8.438750091284556,6.40614730487419,31.829910500563933,9.631534959956507,15.729951882896115,28.4,Medium
67,2022,4.062359816173896,4.856680810017261,20.597892931753222,7.293232367845817,10.3948008709008,10.4,Low
68,2022,5.1732221932795,4.066163063297734,19.472518885126334,8.7574889294087,10.786011982287054,11.7,Low
69,2022,10.518967160067549,6.860127611266773,45.81751819461609,10.317183285796197,20.661934965843493,45.0,Medium
70,2022,4.809336525307797,5.1299589603283176,15.539500683994529,6.707421340629275,8.81968194254446,5.1,Low
71,2022,6.821625244019697,4.84215203519711,17.225241106028378,6.328122723696862,9.547361673610908,7.6,Low
72,2022,3.345527256155399,5.594131372884979,21.858975604500035,8.591681401235407,11.22288383036375,13.2,Low
73,2022,5.614343975135194,4.920411059808483,23.494906667145756,6.9101345645963965,11.42743572699017,13.9,Low
74,2022,8.577149024874556,5.862876258117217,23.79167191433915,6.737422947493064,12.134188184085604,16.3,Low
75,2022,17.282449537660177,12.576494827802366,85.73192569445594,16.47864768262364,37.02517617169851,100.0,Critical
76,2022,10.119782098944219,5.159478021433021,24.990378549521708,8.960446911415207,13.62119655135474,21.3,Low
77,2022,11.642117627456368,5.397277194489944,25.3325704575671,8.033605090612152,13.68136441845526,21.5,Low
78,2022,10.642666670292867,6.699855450652647,22.128424548096312,7.4382401694885285,12.412342311348143,17.2,Low
79,2022,4.389808611802938,3.9849233514910165,17.924163925256046,7.4450940958672405,9.631740873433401,7.9,Low
80,2022,7.115323407716518,4.551402199667574,24.0955546910917,9.481203805212717,12.899352830922657,18.9,Low
81,2022,7.100523010440015,4.975162052462592,17.169483653399567,7.249449728398053,9.968245794713354,9.0,Low
82,2022,2.7970285817819454,5.254337092902115,17.14453956606423,6.945388111307394,9.006356539988827,5.8,Low
83,2022,9.281246954971472,6.7550010646321965,30.547726198252562,8.666827865213955,15.162798503018864,26.5,Medium
84,2022,9.71510562649683,5.549479340674026,29.08377322393802,7.863520789446845,14.368509342326913,23.8,Low
85,2022,3.5436041696456257,4.694603046961603,17.72509956211076,5.3826540363534425,8.648772621799889,4.6,Low
86,2022,4.9488474724633456,5.361441388868626,22.815759719892043,7.431249544095119,11.343141366985193,13.6,Low
87,2022,5.64120739559336,5.50158684129976,22.014402397177516,6.634661339605518,10.93658541824411,12.2,Low
88,2022,6.133258990800112,4.499581823250628,17.722330638416505,7.421243378868136,9.961806523557291,9.0,Low
89,2022,9.733569734288523,5.552627165344898,23.076047631597863,8.733258260057024,12.918094256894362,18.9,Low
90,2022,6.096429234305621,3.7977755885838294,16.925800602504246,8.195199954312475,9.95488356819577,8.9,Low
91,2022,8.390044588862901,5.718940678541931,26.878643701313507,8.86794418615888,13.860673770484377,22.1,Low
92,2022,9.006728641797704,8.561187543059363,31.527799275843964,7.605155893859241,15.157866622962363,26.4,Medium
93,2022,15.468640830100046,5.940329126343486,41.11611589290758,14.705733696056134,21.904889324949085,49.1,Medium
94,2022,10.866969442724393,6.843105222781327,33.18279065409632,9.325615291247603,16.542787723550948,31.1,Medium
95,2022,10.494592180793093,5.616735321774096,31.687577950104064,9.579453041086836,15.99864656980198,29.3,Medium
971,2022,9.317749870297131,3.7985342923958925,24.746525396995064,14.531935583949693,15.48013525597741,27.5,Medium
972,2022,8.007888781476876,4.05795816840665,18.300975848916536,13.140582628615114,12.753899379257048,18.4,Low
973,2022,5.721577629671755,2.316372034315595,23.049288790562517,21.49579377353649,16.889056875949265,32.3,Medium
974,2022,3.123624266464552,2.0729609643409868,13.827682141446966,10.738096642869785,9.275564249309014,6.7,Low
976,2022,1.450190629897317,1.9803678494296697,17.97144839738342,17.070926796560087,12.707880148761493,18.2,Low
